ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
7,55,59.287694974003465,485.053726169844,0,55
7,56,39.85098039215686,496.7607843137255,0,56
7,57,508.234375,507.4192708333333,0,57
7,58,475.22680412371136,507.79639175257734,0,58
7,59,353.97222222222223,506.3666666666667,0,59
7,60,304.40462427745666,510.91907514450867,0,60
7,61,334.38071065989845,512.0456852791879,0,61
7,62,160.0054644808743,526.5737704918033,0,62
7,63,185.39795918367346,527.3163265306123,0,63
7,64,212.63392857142858,553.25,0,64
7,65,192.13529411764705,551.5205882352941,0,65
7,66,161.4142480211082,548.4195250659631,0,66
7,67,604.4453125,652.6875,0,67
7,68,462.55928411633107,670.5883668903803,0,68
7,69,915.4311926605504,660.4220183486239,0,69
7,70,435.1496437054632,667.7767220902613,0,70
7,71,518.6725663716815,665.6946902654868,0,71
7,72,489.03478260869565,669.4739130434782,0,72
7,73,624.3824451410659,677.3824451410659,0,73
7,74,901.3695652173913,683.2391304347826,0,74
7,75,514.6301369863014,686.5239726027397,0,75
7,76,486.5117056856187,694.2140468227425,0,76
7,77,914.2432432432432,744.3351351351351,0,77
7,78,595.5573770491803,742.6284153005464,0,78
7,79,572.8148148148148,743.679012345679,0,79
7,80,357.8285714285714,753.0678571428572,0,80
7,81,148.98366013071896,754.0882352941177,0,81
7,82,908.6737967914438,772.4171122994652,0,82
7,83,126.65529010238907,778.2935153583618,0,83
7,84,351.6656050955414,786.3949044585987,0,84
7,85,886.5367412140575,813.6006389776358,0,85
7,86,903.9047619047619,828.1160714285714,0,86
7,87,854.9698795180723,825.5331325301205,0,87
7,88,794.7177177177177,842.4744744744745,0,88
7,89,975.6912442396314,840.9677419354839,0,89
7,90,882.125,851.0380434782609,0,90
7,91,862.1983002832861,850.1784702549575,0,91
7,92,841.9403409090909,856.0056818181819,0,92
7,93,811.2518518518518,855.2419753086419,0,93
7,94,822.0155642023346,875.2295719844358,0,94
7,95,778.1540540540541,879.1891891891892,0,95
7,96,700.2522522522522,875.2207207207207,0,96
7,97,717.518771331058,882.1535836177475,0,97
7,98,421.8292682926829,884.4146341463414,0,98
7,99,789.6046511627907,881.5581395348837,0,99
7,100,756.1903485254692,895.4155495978553,0,100
7,101,675.2941176470588,885.9117647058823,0,101
7,102,792.6707616707616,896.2776412776412,0,102
7,103,839.1850649350649,895.8506493506494,0,103
7,104,391.22535211267603,902.1577464788733,0,104
7,105,713.7044334975369,896.2266009852217,0,105
7,106,738.9716981132076,895.1037735849056,0,106
7,107,693.5502645502645,901.925925925926,0,107
7,108,812.5432098765432,906.5761316872428,0,108
7,109,737.2019704433498,907.448275862069,0,109
7,110,367.90416666666664,917.7958333333333,0,110
8,1,649.1123919308358,56.570605187319885,0,1
8,2,925.376923076923,62.687179487179485,0,2
8,3,671.7246376811594,69.47584541062803,0,3
8,4,952.8520900321544,69.12540192926045,0,4
8,5,907.8698412698412,87.27619047619048,0,5
8,6,935.6329966329967,91.20875420875421,0,6
8,7,654.0212121212121,92.47272727272727,0,7
8,8,963.9409937888199,91.09937888198758,0,8
8,9,852.1666666666666,101.4060606060606,0,9
8,10,950.4389534883721,113.19767441860465,0,10
8,11,924.2987421383648,118.79245283018868,0,11
8,12,969.2326283987916,120.65256797583082,0,12
8,13,821.9506172839506,122.80555555555556,0,13
8,14,756.9948453608248,130.2422680412371,0,14
8,15,942.1014925373134,145.6179104477612,0,15
8,16,782.2422680412371,141.54123711340208,0,16
8,17,961.0602409638554,159.11084337349396,0,17
8,18,926.164,163.848,0,18
